epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,83.9474,1.4093,2.0379,1.46086,0.80417,0.61401,0.69073,0.38859,1.54241,1.42515,1.55341,0.000475207,0.000475207,0.000475207
2,163.526,1.37408,1.57294,1.41455,0.81261,0.65443,0.71422,0.36902,1.63079,1.31318,1.62725,0.0009327,0.0009327,0.0009327
3,252.686,1.34804,1.45466,1.40117,0.80124,0.64468,0.71613,0.42332,1.46618,1.19387,1.49915,0.00137133,0.00137133,0.00137133
4,343.609,1.34373,1.38687,1.38493,0.86586,0.66937,0.75493,0.44109,1.43169,1.13367,1.48189,0.00134412,0.00134412,0.00134412
5,447.295,1.30821,1.28334,1.35371,0.84439,0.68242,0.78185,0.45597,1.39244,1.11128,1.44634,0.00131582,0.00131582,0.00131582
6,564.79,1.28122,1.23822,1.34548,0.87774,0.72855,0.7974,0.46781,1.41806,0.95597,1.44605,0.00128753,0.00128753,0.00128753
7,662.854,1.25512,1.19118,1.33075,0.87867,0.73585,0.80717,0.49457,1.38175,0.96842,1.39684,0.00125923,0.00125923,0.00125923
8,738.003,1.25588,1.17714,1.32887,0.89438,0.73684,0.82099,0.51518,1.32824,0.87499,1.37312,0.00123094,0.00123094,0.00123094
9,813.202,1.2401,1.15228,1.31723,0.90809,0.74687,0.82986,0.50078,1.40002,0.86829,1.3924,0.00120265,0.00120265,0.00120265
10,903.009,1.20581,1.12406,1.30836,0.89511,0.75683,0.84577,0.5388,1.27455,0.83876,1.32799,0.00117435,0.00117435,0.00117435
11,1003.06,1.21333,1.08553,1.3001,0.89652,0.75832,0.84131,0.54103,1.27354,0.84449,1.36209,0.00114606,0.00114606,0.00114606
12,1107.5,1.20587,1.08122,1.28705,0.87727,0.76879,0.83582,0.52904,1.31374,0.84109,1.32935,0.00111776,0.00111776,0.00111776
13,1195.11,1.19132,1.05861,1.28223,0.89198,0.76638,0.84021,0.53218,1.28304,0.8499,1.32554,0.00108947,0.00108947,0.00108947
14,1274.21,1.18307,1.03597,1.28338,0.88666,0.76892,0.8372,0.54117,1.25995,0.80982,1.318,0.00106118,0.00106118,0.00106118
15,1352.33,1.17246,1.02356,1.27081,0.89427,0.77889,0.85695,0.55585,1.24714,0.79378,1.32318,0.00103288,0.00103288,0.00103288
16,1430.52,1.16528,1.01395,1.26301,0.88927,0.75942,0.84535,0.5446,1.26766,0.77705,1.31167,0.00100459,0.00100459,0.00100459
17,1509.06,1.14688,0.9956,1.25494,0.91,0.78214,0.86226,0.548,1.2915,0.75076,1.33077,0.000976293,0.000976293,0.000976293
18,1587.95,1.15504,0.9762,1.25718,0.88779,0.79566,0.86272,0.55668,1.2646,0.76438,1.30191,0.000947999,0.000947999,0.000947999
19,1665.7,1.13738,0.95217,1.24018,0.89537,0.78392,0.85617,0.55138,1.24934,0.74095,1.29845,0.000919704,0.000919704,0.000919704
20,1743.93,1.13095,0.95743,1.24586,0.89708,0.80025,0.87653,0.56018,1.25797,0.73362,1.29081,0.00089141,0.00089141,0.00089141
21,1821.6,1.13052,0.94993,1.24385,0.88321,0.80574,0.87592,0.55684,1.29072,0.72499,1.3318,0.000863116,0.000863116,0.000863116
22,1899.58,1.10528,0.92757,1.23059,0.90529,0.79721,0.866,0.57484,1.19394,0.70676,1.27259,0.000834822,0.000834822,0.000834822
23,1981.48,1.11312,0.92942,1.23197,0.8885,0.80078,0.8744,0.55654,1.26137,0.71985,1.2923,0.000806528,0.000806528,0.000806528
24,2079.76,1.11413,0.91813,1.23298,0.91094,0.79718,0.87954,0.57878,1.21747,0.68327,1.27643,0.000778233,0.000778233,0.000778233
25,2185.22,1.10082,0.91341,1.22182,0.9051,0.79504,0.87761,0.57596,1.20487,0.68877,1.27344,0.000749939,0.000749939,0.000749939
26,2264.3,1.10837,0.89747,1.22546,0.89585,0.80709,0.88293,0.57699,1.22845,0.69415,1.27611,0.000721645,0.000721645,0.000721645
27,2388.31,1.09866,0.89918,1.22039,0.91353,0.82035,0.88904,0.58528,1.19194,0.65953,1.24806,0.000693351,0.000693351,0.000693351
28,2534.99,1.08767,0.87479,1.20799,0.89709,0.8248,0.88746,0.57521,1.20629,0.67226,1.26784,0.000665057,0.000665057,0.000665057
29,2698.04,1.07763,0.87966,1.21262,0.91067,0.81578,0.88812,0.58447,1.19133,0.6536,1.25068,0.000636762,0.000636762,0.000636762
30,2850.83,1.06573,0.86451,1.20463,0.87795,0.82389,0.87957,0.58466,1.17816,0.6529,1.24359,0.000608468,0.000608468,0.000608468
31,2992.27,1.07061,0.85009,1.20191,0.90901,0.8159,0.892,0.59145,1.17864,0.64752,1.24636,0.000580174,0.000580174,0.000580174
32,3170.31,1.07071,0.84461,1.19405,0.91962,0.80375,0.88431,0.58354,1.19481,0.65788,1.25728,0.00055188,0.00055188,0.00055188
33,3337.52,1.04809,0.84302,1.19458,0.90186,0.8016,0.88034,0.57746,1.20804,0.67544,1.25458,0.000523586,0.000523586,0.000523586
34,3497.41,1.0523,0.82987,1.18972,0.89456,0.83047,0.88911,0.58582,1.20712,0.65648,1.24833,0.000495291,0.000495291,0.000495291
35,3700.6,1.0218,0.8179,1.18275,0.89525,0.82918,0.89418,0.59467,1.17429,0.63565,1.24148,0.000466997,0.000466997,0.000466997
